HOJA;N_COL;COLUMNA;FILAS;VACIOS;REVISAR_GENERICO;REVISION_ESPECIFICA;CONFLICTO;UNICOS;ESTADO_COLUMNA;EJEMPLOS
PROGRAMAS_FALTANTES_PARA_CREAR;1;CODIGO_UNICO;71;0;0;0;0;71;OK;I162S2C101J4V1 | I162S2C102J4V1 | I162S2C103J4V1 | I162S2C104J4V1 | I162S2C105J4V1 | I162S2C10J1V1 | I162S2C10J4V1 | I162S2C111J4V1
PROGRAMAS_FALTANTES_PARA_CREAR;2;CODIGO_IES_NUM;71;0;0;0;0;1;OK;162
PROGRAMAS_FALTANTES_PARA_CREAR;3;COD_SEDE;71;0;0;0;0;2;OK;2 | 3
PROGRAMAS_FALTANTES_PARA_CREAR;4;COD_CARRERA_DERIVADO;71;0;0;0;0;51;OK;101 | 102 | 103 | 104 | 105 | 10 | 111 | 112
PROGRAMAS_FALTANTES_PARA_CREAR;5;JORNADA;71;0;0;0;0;4;OK;4 | 1 | 2 | 3
PROGRAMAS_FALTANTES_PARA_CREAR;6;VERSION_DERIVADA;71;0;0;0;0;3;OK;1 | 2 | 3
PROGRAMAS_FALTANTES_PARA_CREAR;7;NOMBRE_CARRERA_ORIGINAL;71;0;0;0;0;51;OK;DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERIA EN FINANZAS | INGENIERIA EN MARKETING DIGITAL
PROGRAMAS_FALTANTES_PARA_CREAR;8;NOMBRE_CARRERA_NORMALIZADO;71;0;0;0;0;51;OK;DIPLOMADO EN SALUD FAMILIAR CON ENFOQUE COMUNITARIO | DIPLOMADO SALUD CON FOCO EN MIGRACION | DIPLOMADO ABORDAJE INTEGRAL DE LA VIOLENCIA DE GENERO EN ATENCION PRIMARIA DE SALUD | DIPLOMADO EN INNOVACION PARA LA DOCENCIA | DIPLOMADO EN HUMANIZACION EN SALUD | TECNICO EN PREVENCION DE RIESGOS | INGENIERIA EN FINANZAS | INGENIERIA EN MARKETING DIGITAL
PROGRAMAS_FALTANTES_PARA_CREAR;9;MODALIDAD_ORIGINAL;71;0;0;0;0;3;OK;3 | 1 | 2
PROGRAMAS_FALTANTES_PARA_CREAR;10;TIPO_PLAN_CARRERA_ORIGINAL;71;0;0;0;0;2;OK;1 | 3
PROGRAMAS_FALTANTES_PARA_CREAR;11;CARACT_PLAN_ESPECIAL_ORIGINAL;71;0;0;0;0;1;OK;NO APLICA
PROGRAMAS_FALTANTES_PARA_CREAR;12;NIVEL_GLOBAL;71;0;0;0;0;2;OK;3 | 1
