CODIGO_UNICO,FILA_ORIGEN,COLUMNA,VALOR_ACTUAL,VALOR_PROPUESTO,FUENTE_PROPUESTA,TIPO_REGLA,CONFIANZA,DICTAMEN_CELDA,OBSERVACION
I162S2C101J4V1,2,Mención o Especialidad,REVISAR,,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES,SIN_FUENTE,NULA,REVISAR_CORRECTO_SIN_FUENTE,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES
I162S2C101J4V1,2,Área del Conocimiento,REVISAR,8,DICCIONARIO.AREA_ACTUAL,REGLA_CONDICIONAL,MEDIA,COMPLETABLE_POR_REGLA_CONDICIONAL,Existe código técnico; falta confirmar formato/etiqueta final aceptada por formulario.
I162S2C101J4V1,2,Sub Área,REVISAR,,SIN_TABLA_OFICIAL_DE_EQUIVALENCIA_AREA,SIN_FUENTE,NULA,REVISAR_CORRECTO_SIN_FUENTE,SIN_TABLA_OFICIAL_DE_EQUIVALENCIA_AREA
I162S2C101J4V1,2,Carrera Genérica,REVISAR,,SIN_TABLA_OFICIAL_DE_EQUIVALENCIA_AREA,SIN_FUENTE,NULA,REVISAR_CORRECTO_SIN_FUENTE,SIN_TABLA_OFICIAL_DE_EQUIVALENCIA_AREA
I162S2C101J4V1,2,Grado Académico que otorga el programa,REVISAR,,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES,SIN_FUENTE,NULA,REVISAR_CORRECTO_SIN_FUENTE,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES
I162S2C101J4V1,2,Dependencia,REVISAR,,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES,SIN_FUENTE,NULA,REVISAR_CORRECTO_SIN_FUENTE,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES
I162S2C101J4V1,2,Régimen,REVISAR,1,DICCIONARIO.REGIMEN,REGLA_CONDICIONAL,MEDIA,COMPLETABLE_POR_REGLA_CONDICIONAL,Existe código técnico; falta confirmar formato/etiqueta final aceptada por formulario.
I162S2C101J4V1,2,Ingreso Directo,REVISAR,2,DICCIONARIO.REQUISITO_INGRESO,REGLA_CONDICIONAL,MEDIA,COMPLETABLE_POR_REGLA_CONDICIONAL,Existe código técnico; falta confirmar formato/etiqueta final aceptada por formulario.
I162S2C101J4V1,2,Ingreso desde un plan Común,REVISAR,,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES,SIN_FUENTE,NULA,REVISAR_CORRECTO_SIN_FUENTE,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES
I162S2C101J4V1,2,Ingreso desde Bachillerato,REVISAR,,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES,SIN_FUENTE,NULA,REVISAR_CORRECTO_SIN_FUENTE,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES
I162S2C101J4V1,2,Otro Tipo de Ingreso,REVISAR,,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES,SIN_FUENTE,NULA,REVISAR_CORRECTO_SIN_FUENTE,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES
I162S2C101J4V1,2,Ingreso otro,REVISAR,,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES,SIN_FUENTE,NULA,REVISAR_CORRECTO_SIN_FUENTE,SIN_FUENTE_EXPLICITA_EN_BASES_ACTUALES
