CODIGO_UNICO;FILA_EXCEL_APROX;COLUMNA;VALOR_OPERATIVO;CANDIDATOS_FAMILIA_S2_C3_J2;N_CANDIDATOS_FAMILIA;N_VALORES_DISTINTOS_COLUMNA;ESTADO;MOTIVO
I162S2C3J2V2;41;ANIO_INICIO;CONFLICTO_REVISAR_ANIO_INICIO_MATCH_AMBIGUO;"2002; 2017; 2019";3;3;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;REGIMEN;CONFLICTO_REVISAR_REGIMEN_MATCH_AMBIGUO;1;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;DURACION_REGIMEN;CONFLICTO_REVISAR_DURACION_REGIMEN_MATCH_AMBIGUO;"4; 8";3;2;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;NOMBRE_TITULO;CONFLICTO_REVISAR_NOMBRE_TITULO_MATCH_NO_UNICO;INGENIERO EN CONECTIVIDAD Y REDES;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;ACREDITACION;CONFLICTO_REVISAR_ACREDITACION_MATCH_NO_UNICO;2;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;REQUISITO_INGRESO;CONFLICTO_REVISAR_REQUISITO_INGRESO_MATCH_NO_UNICO;"1; 2";3;2;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;SEMESTRES_RECONOCIDOS;CONFLICTO_REVISAR_SEMESTRES_RECONOCIDOS_MATCH_NO_UNICO;"0; 4";3;2;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_ACTUAL;CONFLICTO_REVISAR_AREA_ACTUAL_MATCH_NO_UNICO;10;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_ADMIN_DERECHO;CONFLICTO_REVISAR_AREA_ADMIN_DERECHO_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_AGRI_SILVI_PESCA_VET;CONFLICTO_REVISAR_AREA_AGRI_SILVI_PESCA_VET_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_ARTES_HUMANIDADES;CONFLICTO_REVISAR_AREA_ARTES_HUMANIDADES_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_CIENCIAS_NAT_MAT_ESTAD;CONFLICTO_REVISAR_AREA_CIENCIAS_NAT_MAT_ESTAD_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_CS_SOCIAL_PERIODISMO_INFO;CONFLICTO_REVISAR_AREA_CS_SOCIAL_PERIODISMO_INFO_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_EDUCACION;CONFLICTO_REVISAR_AREA_EDUCACION_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_INGE_INDUSTRIA_CONSTRUC;CONFLICTO_REVISAR_AREA_INGE_INDUSTRIA_CONSTRUC_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_SALUD_BIENESTAR;CONFLICTO_REVISAR_AREA_SALUD_BIENESTAR_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_SERVICIOS;CONFLICTO_REVISAR_AREA_SERVICIOS_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;AREA_TECNO_INFO_COMUNICA;CONFLICTO_REVISAR_AREA_TECNO_INFO_COMUNICA_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;VACANTES_PRIMER_SEMESTRE;CONFLICTO_REVISAR_VACANTES_PRIMER_SEMESTRE_MATCH_NO_UNICO;"0; 30";3;2;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
I162S2C3J2V2;41;VACANTES_SEGUNDO_SEMESTRE;CONFLICTO_REVISAR_VACANTES_SEGUNDO_SEMESTRE_MATCH_NO_UNICO;0;3;1;CONFLICTO_CONTROLADO;"No existe match exacto por CODIGO_UNICO_DERIVADO; la familia S2/C3/J2 tiene múltiples versiones candidatas y no se debe elegir una automáticamente."
