CODIGO_UNICO;FILA_EXCEL_APROX;COLUMNA;VALOR_ANTERIOR;VALOR_NUEVO;ACCION;MOTIVO
I162S2C3J2V2;41;REGIMEN;CONFLICTO_REVISAR_REGIMEN_MATCH_AMBIGUO;1;REEMPLAZAR_CON_VALOR_UNANIME;"La familia candidata I162S2C3J2V1/V3/V4 entrega un único valor para esta columna; no requiere elegir versión."
I162S2C3J2V2;41;NOMBRE_TITULO;CONFLICTO_REVISAR_NOMBRE_TITULO_MATCH_NO_UNICO;INGENIERO EN CONECTIVIDAD Y REDES;REEMPLAZAR_CON_VALOR_UNANIME;"La familia candidata I162S2C3J2V1/V3/V4 entrega un único valor para esta columna; no requiere elegir versión."
I162S2C3J2V2;41;ACREDITACION;CONFLICTO_REVISAR_ACREDITACION_MATCH_NO_UNICO;2;REEMPLAZAR_CON_VALOR_UNANIME;"La familia candidata I162S2C3J2V1/V3/V4 entrega un único valor para esta columna; no requiere elegir versión."
I162S2C3J2V2;41;AREA_ACTUAL;CONFLICTO_REVISAR_AREA_ACTUAL_MATCH_NO_UNICO;10;REEMPLAZAR_CON_VALOR_UNANIME;"La familia candidata I162S2C3J2V1/V3/V4 entrega un único valor para esta columna; no requiere elegir versión."
I162S2C3J2V2;41;AREA_ADMIN_DERECHO;CONFLICTO_REVISAR_AREA_ADMIN_DERECHO_MATCH_NO_UNICO;0;REEMPLAZAR_CON_VALOR_UNANIME;"La familia candidata I162S2C3J2V1/V3/V4 entrega un único valor para esta columna; no requiere elegir versión."
I162S2C3J2V2;41;AREA_AGRI_SILVI_PESCA_VET;CONFLICTO_REVISAR_AREA_AGRI_SILVI_PESCA_VET_MATCH_NO_UNICO;0;REEMPLAZAR_CON_VALOR_UNANIME;"La familia candidata I162S2C3J2V1/V3/V4 entrega un único valor para esta columna; no requiere elegir versión."
I162S2C3J2V2;41;AREA_ARTES_HUMANIDADES;CONFLICTO_REVISAR_AREA_ARTES_HUMANIDADES_MATCH_NO_UNICO;0;REEMPLAZAR_CON_VALOR_UNANIME;"La familia candidata I162S2C3J2V1/V3/V4 entrega un único valor para esta columna; no requiere elegir versión."
I162S2C3J2V2;41;AREA_CIENCIAS_NAT_MAT_ESTAD;CONFLICTO_REVISAR_AREA_CIENCIAS_NAT_MAT_ESTAD_MATCH_NO_UNICO;0;REEMPLAZAR_CON_VALOR_UNANIME;"La familia candidata I162S2C3J2V1/V3/V4 entrega un único valor para esta columna; no requiere elegir versión."
I162S2C3J2V2;41;AREA_CS_SOCIAL_PERIODISMO_INFO;CONFLICTO_REVISAR_AREA_CS_SOCIAL_PERIODISMO_INFO_MATCH_NO_UNICO;0;REEMPLAZAR_CON_VALOR_UNANIME;"La familia candidata I162S2C3J2V1/V3/V4 entrega un único valor para esta columna; no requiere elegir versión."
I162S2C3J2V2;41;AREA_EDUCACION;CONFLICTO_REVISAR_AREA_EDUCACION_MATCH_NO_UNICO;0;REEMPLAZAR_CON_VALOR_UNANIME;"La familia candidata I162S2C3J2V1/V3/V4 entrega un único valor para esta columna; no requiere elegir versión."
