timestamp,evento,objeto,filas,columnas,severidad
2026-06-12T15:40:57,HOJA_DETECTADA,BD_Acádemicos_Número,2706,65,INFO
2026-06-12T15:40:57,HOJA_DETECTADA,BD_Académicos_JCE,2706,61,INFO
2026-06-12T15:40:57,HOJA_DETECTADA,Instituciones Participantes,83,3,INFO
2026-06-12T15:40:57,HOJA_DETECTADA,Glosario Acádemicos_Número,69,6,INFO
2026-06-12T15:40:57,HOJA_DETECTADA,Glosario Acádemicos_JCE,65,6,INFO
2026-06-12T15:40:57,BASE_NORMALIZADA,HIST_BASE_NORMALIZADA,2703,86,INFO
2026-06-12T15:40:57,ANIOS_DETECTADOS,2008-2025,18,,INFO
2026-06-12T15:40:57,INSTITUCION_OBJETIVO_CONFIGURADA,IP CIISA (162),18,,INFO
2026-06-12T15:40:57,METODO_DETECCION_INSTITUCION,coincidencia exacta por codigo SIES; sin seleccion por nombre parcial,18,,INFO
2026-06-12T15:40:57,VALIDACION_NOMBRE_INSTITUCION,IP CIISA,OK,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2008|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2009|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2010|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2011|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2012|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2013|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2014|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2015|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2016|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2017|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2018|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2019|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2020|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2021|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2022|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2023|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2024|162|IP CIISA,1,,INFO
2026-06-12T15:40:57,COINCIDENCIA_CODIGO_INSTITUCION,2025|162|IP CIISA,1,,INFO
