timestamp,tipo_archivo,posicion,columna_oficial,columna_base,coincide_nombre,coincide_posicion,total_filas,valores_vacios,total_na,total_nd,total_no_aplica,valores_unicos,errores_criticos,advertencias,estado_columna,fuente_regla,observacion,accion_requerida
2026-06-11T23:35:37,en_institucion,1,TIPO_DOCUMENTO,TIPO_DOCUMENTO,SI,SI,190,0,0,0,0,1,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,2,NUM_DOCUMENTO,NUM_DOCUMENTO,SI,SI,190,0,0,0,0,190,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,3,DV,DV,SI,SI,190,0,0,0,0,11,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,4,PRIMER_APELLIDO,PRIMER_APELLIDO,SI,SI,190,0,0,0,0,165,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,5,SEGUNDO_APELLIDO,SEGUNDO_APELLIDO,SI,SI,190,0,0,0,0,162,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,6,NOMBRES,NOMBRES,SI,SI,190,0,0,0,0,178,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,7,SEXO,SEXO,SI,SI,190,0,0,0,0,2,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,8,FECHA_NACIMIENTO,FECHA_NACIMIENTO,SI,SI,190,0,0,0,0,187,0,190,LISTA_CON_ADVERTENCIAS,VALIDACION_TECNICA_PREVENTIVA,Reglas validador: fecha_tolerancia_iso=190,Revisar advertencias antes de exportacion controlada.
2026-06-11T23:35:37,en_institucion,9,NACIONALIDAD,NACIONALIDAD,SI,SI,190,0,0,0,0,8,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,10,NIVEL_FORMACION_ACADEMICO,NIVEL_FORMACION_ACADEMICO,SI,SI,190,0,5,0,0,6,0,0,LISTA,ESTRUCTURA_OFICIAL,5 valores NA/#N/A preservados.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,11,NOMBRE_TITULO_O_GRADO,NOMBRE_TITULO_O_GRADO,SI,SI,190,0,0,0,0,133,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,12,NOMBRE_INSTITUCION_OBT_TITULO,NOMBRE_INSTITUCION_OBT_TITULO,SI,SI,190,0,7,0,0,77,0,0,LISTA,ESTRUCTURA_OFICIAL,7 valores NA/#N/A preservados.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,13,PAIS_OBTENCION_TIT_O_GRADO,PAIS_OBTENCION_TIT_O_GRADO,SI,SI,190,0,7,0,0,5,0,0,LISTA,ESTRUCTURA_OFICIAL,7 valores NA/#N/A preservados.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,14,FECHA_OBT_TIT_O_GRADO,FECHA_OBT_TIT_O_GRADO,SI,SI,190,0,7,0,0,179,1,189,REQUIERE_CORRECCION,VALIDACION_TECNICA_PREVENTIVA,"7 valores NA/#N/A preservados. Reglas validador: fecha_futura=1, fecha_no_disponible=7, fecha_tolerancia_iso=182",Corregir errores criticos antes de exportar.
2026-06-11T23:35:37,en_institucion,15,NIVEL_FORMACION_ESPECIALIDAD,NIVEL_FORMACION_ESPECIALIDAD,SI,SI,190,190,0,0,0,1,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,16,TIPO_ESPECIALIDAD,TIPO_ESPECIALIDAD,SI,SI,190,190,0,0,0,1,0,0,LISTA,ESTRUCTURA_OFICIAL,Cruce estructural y validacion sin hallazgos.,Sin hallazgos para la columna.
2026-06-11T23:35:37,en_institucion,17,NOMBRE_ESPECIALIDAD,NOMBRE_ESPECIALIDAD,SI,SI,190,0,0,0,190,1,0,0,LISTA,ESTRUCTURA_OFICIAL,190 valores NO APLICA.,Sin hallazgos para la columna.
